# Residuals   
# Time        	p             	Ux            	Uy            
3.64          	3.218405e-01	5.476790e-03	2.844784e-02
3.65          	3.436997e-01	5.360164e-03	2.917700e-02
3.66          	3.445725e-01	5.240234e-03	2.974498e-02
3.67          	3.506119e-01	5.126455e-03	3.026741e-02
3.68          	3.607549e-01	5.052919e-03	3.084618e-02
3.69          	3.664079e-01	4.998828e-03	3.141867e-02
3.70          	3.835535e-01	4.993595e-03	3.194235e-02
3.71          	3.833060e-01	5.013352e-03	3.245148e-02
3.72          	3.958940e-01	5.032212e-03	3.307291e-02
3.73          	3.875518e-01	5.034649e-03	3.345616e-02
3.74          	3.872600e-01	5.046094e-03	3.369940e-02
3.75          	3.901949e-01	5.069262e-03	3.401910e-02
3.76          	3.950965e-01	5.112814e-03	3.404291e-02
3.77          	4.044762e-01	5.221876e-03	3.410941e-02
3.78          	3.990050e-01	5.358990e-03	3.417355e-02
3.79          	4.004461e-01	5.488114e-03	3.398607e-02
3.80          	3.881146e-01	5.621868e-03	3.356482e-02
3.81          	3.823982e-01	5.692779e-03	3.306814e-02
3.82          	3.859080e-01	5.769195e-03	3.244939e-02
3.83          	3.858764e-01	5.808651e-03	3.167936e-02
3.84          	3.848385e-01	5.798260e-03	3.083681e-02
3.85          	3.816032e-01	5.800625e-03	3.008461e-02
3.86          	3.880963e-01	5.828765e-03	2.940534e-02
3.87          	3.848521e-01	5.871597e-03	2.889394e-02
3.88          	4.031673e-01	5.947631e-03	2.849317e-02
3.89          	4.083737e-01	6.043670e-03	2.804630e-02
3.90          	4.010411e-01	6.117504e-03	2.756654e-02
3.91          	3.889967e-01	6.179756e-03	2.724235e-02
3.92          	3.752509e-01	6.183421e-03	2.682916e-02
3.93          	3.620064e-01	6.157514e-03	2.655487e-02
3.94          	3.253089e-01	6.127161e-03	2.621756e-02
3.95          	2.913045e-01	6.064518e-03	2.586094e-02
3.96          	2.621858e-01	5.971665e-03	2.550236e-02
3.97          	2.397381e-01	5.855093e-03	2.497165e-02
3.98          	2.272995e-01	5.703954e-03	2.426534e-02
3.99          	2.263603e-01	5.537948e-03	2.362346e-02
4.00          	2.224918e-01	5.373881e-03	2.300168e-02
4.01          	2.056793e-01	5.246474e-03	2.260207e-02
4.02          	2.000364e-01	5.119449e-03	2.234282e-02
4.03          	1.969808e-01	5.012344e-03	2.216232e-02
4.04          	2.051382e-01	4.918783e-03	2.204454e-02
4.05          	2.192424e-01	4.857106e-03	2.200830e-02
4.06          	2.596670e-01	4.826011e-03	2.204739e-02
4.07          	2.815463e-01	4.867073e-03	2.217803e-02
4.08          	3.028343e-01	4.935512e-03	2.240152e-02
4.09          	2.825049e-01	4.989175e-03	2.272316e-02
4.10          	2.881663e-01	5.044176e-03	2.326159e-02
4.11          	2.922131e-01	5.110645e-03	2.382688e-02
4.12          	3.101377e-01	5.155293e-03	2.455295e-02
4.13          	3.201231e-01	5.176643e-03	2.537650e-02
4.14          	3.321098e-01	5.184265e-03	2.607392e-02
4.15          	3.288316e-01	5.176229e-03	2.689259e-02
4.16          	3.371899e-01	5.166136e-03	2.758535e-02
4.17          	3.481989e-01	5.178737e-03	2.824497e-02
4.18          	3.535213e-01	5.209195e-03	2.878073e-02
4.19          	3.636516e-01	5.275275e-03	2.914849e-02
4.20          	3.665138e-01	5.348196e-03	2.932268e-02
4.21          	3.703226e-01	5.466798e-03	2.934855e-02
4.22          	3.802288e-01	5.614162e-03	2.928105e-02
4.23          	3.763217e-01	5.741924e-03	2.899429e-02
4.24          	3.867768e-01	5.852611e-03	2.876813e-02
4.25          	3.681720e-01	5.927451e-03	2.829900e-02
4.26          	3.714913e-01	6.040247e-03	2.778652e-02
4.27          	3.604410e-01	6.138423e-03	2.724201e-02
4.28          	3.365742e-01	6.232178e-03	2.652674e-02
4.29          	3.361507e-01	6.332767e-03	2.599700e-02
4.30          	3.261122e-01	6.412472e-03	2.540689e-02
4.31          	3.087766e-01	6.508227e-03	2.486925e-02
4.32          	3.189441e-01	6.605959e-03	2.455096e-02
4.33          	3.391035e-01	6.715956e-03	2.432469e-02
4.34          	3.432693e-01	6.794890e-03	2.407925e-02
4.35          	3.440282e-01	6.844903e-03	2.377977e-02
4.36          	3.254106e-01	6.911413e-03	2.351240e-02
4.37          	3.131283e-01	6.975922e-03	2.326357e-02
4.38          	3.094437e-01	7.020462e-03	2.305165e-02
4.39          	2.818883e-01	7.050626e-03	2.289677e-02
4.40          	2.686020e-01	7.072863e-03	2.274682e-02
4.41          	2.394231e-01	7.050543e-03	2.251838e-02
4.42          	2.341104e-01	7.010156e-03	2.231305e-02
4.43          	2.104353e-01	6.943370e-03	2.213027e-02
4.44          	1.900939e-01	6.858908e-03	2.194140e-02
4.45          	1.852586e-01	6.739718e-03	2.166233e-02
4.46          	1.812706e-01	6.585856e-03	2.132080e-02
4.47          	1.747280e-01	6.404555e-03	2.101039e-02
4.48          	1.767262e-01	6.257657e-03	2.084174e-02
4.49          	1.787996e-01	6.144881e-03	2.075938e-02
4.50          	1.792051e-01	6.039321e-03	2.073660e-02
4.51          	1.875427e-01	5.961488e-03	2.083368e-02
4.52          	2.120589e-01	5.906418e-03	2.096047e-02
4.53          	2.463376e-01	5.879656e-03	2.118992e-02
4.54          	2.629854e-01	5.886231e-03	2.147080e-02
4.55          	2.709253e-01	5.907570e-03	2.185892e-02
4.56          	2.712368e-01	5.970174e-03	2.228339e-02
4.57          	2.807592e-01	6.060828e-03	2.284076e-02
4.58          	2.877896e-01	6.170981e-03	2.340420e-02
4.59          	2.859765e-01	6.289547e-03	2.404239e-02
4.60          	2.953796e-01	6.393712e-03	2.458533e-02
4.61          	3.076157e-01	6.472104e-03	2.514102e-02
4.62          	3.331105e-01	6.521885e-03	2.566091e-02
4.63          	3.469790e-01	6.558938e-03	2.604096e-02
4.64          	3.530544e-01	6.592891e-03	2.626267e-02
4.65          	3.517002e-01	6.599308e-03	2.635028e-02
4.66          	3.524858e-01	6.627030e-03	2.640233e-02
4.67          	3.465682e-01	6.682420e-03	2.619111e-02
4.68          	3.428538e-01	6.773169e-03	2.597262e-02
4.69          	3.375635e-01	6.939824e-03	2.571341e-02
4.70          	3.518750e-01	7.123286e-03	2.541916e-02
4.71          	3.257163e-01	7.303304e-03	2.506517e-02
4.72          	3.166735e-01	7.478455e-03	2.478076e-02
4.73          	3.071018e-01	7.672978e-03	2.458100e-02
4.74          	3.112058e-01	7.861399e-03	2.432274e-02
4.75          	3.025453e-01	8.026031e-03	2.401471e-02
4.76          	2.996065e-01	8.141442e-03	2.369645e-02
4.77          	2.803528e-01	8.206720e-03	2.327122e-02
